,Station,ID,State,File,Latitude,Longitude
309,Rainier Ohanapecosh,wa6896,WA,WA Rainier Ohanapecosh,46.44,-121.34
310,Rainier Paradise Rnger,wa6898,WA,WA Rainier Paradise Rnger,46.47,-121.44
311,Randle 1 E,wa6909,WA,WA Randle 1 E,46.32,-121.56
312,Raymond 2 S,wa6914,WA,WA Raymond 2 S,46.39,-123.43
313,Republic,wa6974,WA,WA Republic,48.39,-118.44
314,Richardson 3 Se Lopez,wa7010,WA,WA Richardson 3 Se Lopez,48.26,-122.5
315,Richland,wa7015,WA,WA Richland,46.19,-119.16
316,Rimrock Tieton Dam,wa7038,WA,WA Rimrock Tieton Dam,46.39,-121.08
317,Ritzville,wa7059,WA,WA Ritzville,47.07,-118.22
318,Rosalia,wa7180,WA,WA Rosalia,47.14,-117.22
319,Ross Dam,wa7185,WA,WA Ross Dam,48.44,-121.03
320,Ruff 3 Sw,wa7223,WA,WA Ruff 3 Sw,47.08,-119.03
321,Saint John,wa7267,WA,WA Saint John,47.06,-117.35
322,Sappho 8 E,wa7319,WA,WA Sappho 8 E,48.04,-124.07
323,Satus Pass,wa7340,WA,WA Satus Pass,46.0,-120.39
324,Satus Pass 2 Ssw,wa7342,WA,WA Satus Pass 2 Ssw,45.57,-120.39
325,Scenic,wa7379,WA,WA Scenic,47.42,-121.09
326,Seattle Urban Site,wa7458,WA,WA Seattle Urban Site,47.39,-122.18
327,Seattle Jackson Park,wa7459,WA,WA Seattle Jackson Park,47.44,-122.2
328,Seattle Maple Leaf R,wa7463,WA,WA Seattle Maple Leaf R,47.42,-122.19
329,Seattle Naval Air Stn,wa7468,WA,WA Seattle Naval Air Stn,47.41,-122.16
330,Seattle Sand Pt Wsfo,wa7470,WA,WA Seattle Sand Pt Wsfo,47.41,-122.15
331,Seattle Tcoma Wscmo Ap,wa7473,WA,WA Seattle Tcoma Wscmo Ap,47.27,-122.18
332,Seattle Univ Of Washing,wa7478,WA,WA Seattle Univ Of Washing,47.39,-122.17
333,Seattle Wb Airport,wa7483,WA,WA Seattle Wb Airport,47.32,-122.18
334,Seattle Wb City,wa7488,WA,WA Seattle Wb City,47.36,-122.2
335,Sedro Woolley 1 E,wa7507,WA,WA Sedro Woolley 1 E,48.3,-122.14
336,Sequim,wa7538,WA,WA Sequim,48.05,-123.06
337,Sequim 2 E,wa7544,WA,WA Sequim 2 E,48.05,-123.03
338,Shelton,wa7584,WA,WA Shelton,47.12,-123.06
339,Skagit Power Plant,wa7690,WA,WA Skagit Power Plant,48.41,-121.15
340,Skamania Fish Hatchery,wa7696,WA,WA Skamania Fish Hatchery,45.38,-122.13
341,Skykomish,wa7708,WA,WA Skykomish,47.42,-121.22
342,Smyrna,wa7727,WA,WA Smyrna,46.5,-119.4
343,Snoqualmie Falls,wa7773,WA,WA Snoqualmie Falls,47.33,-121.51
344,Snoqualmie Pass,wa7781,WA,WA Snoqualmie Pass,47.25,-121.25
345,South Olympic Tree Farm,wa7871,WA,WA South Olympic Tree Farm,47.14,-123.35
346,Spirit Lake Ranger Stn,wa7919,WA,WA Spirit Lake Ranger Stn,46.16,-122.09
347,Spokane,wa7933,WA,WA Spokane,47.4,-117.25
348,Spokane Wso Airport,wa7938,WA,WA Spokane Wso Airport,47.38,-117.32
349,Sprague,wa7956,WA,WA Sprague,47.18,-117.59
350,Spruce,wa7987,WA,WA Spruce,47.48,-124.04
351,Stampede Pass Wscmo,wa8009,WA,WA Stampede Pass Wscmo,47.17,-121.2
352,Startup 1 E,wa8034,WA,WA Startup 1 E,47.52,-121.43
353,Stehekin 3 Nw,wa8059,WA,WA Stehekin 3 Nw,48.21,-120.43
354,Stevens Pass,wa8089,WA,WA Stevens Pass,47.44,-121.05
355,Stockdill Ranch,wa8115,WA,WA Stockdill Ranch,48.22,-120.2
356,Sunnyside,wa8207,WA,WA Sunnyside,46.19,-120.0
357,Tacoma 1,wa8278,WA,WA Tacoma 1,47.15,-122.25
358,Tacoma Wb City,wa8286,WA,WA Tacoma Wb City,47.15,-122.26
359,Tatoosh Island Wb,wa8332,WA,WA Tatoosh Island Wb,48.23,-124.44
360,Tekoa,wa8348,WA,WA Tekoa,47.13,-117.05
361,Tieton Intake,wa8442,WA,WA Tieton Intake,46.4,-121.0
362,Toledo,wa8500,WA,WA Toledo,46.28,-122.5
363,Tolt South Fork Reser,wa8508,WA,WA Tolt South Fork Reser,47.42,-121.41
364,Tonasket 4 Nne,wa8520,WA,WA Tonasket 4 Nne,48.46,-119.25
365,Trinidad 2 Sse,wa8579,WA,WA Trinidad 2 Sse,47.13,-120.0
366,Upper Baker Dam,wa8715,WA,WA Upper Baker Dam,48.39,-121.41
367,Upper Baker River,wa8718,WA,WA Upper Baker River,48.4,-121.43
368,Vancouver 4 Nne,wa8773,WA,WA Vancouver 4 Nne,45.41,-122.39
369,Vancouver Port Dock,wa8778,WA,WA Vancouver Port Dock,45.37,-122.4
370,Vashon Island,wa8802,WA,WA Vashon Island,47.27,-122.3
371,Walla Walla 3 W Ent La,wa8926,WA,WA Walla Walla 3 W Ent La,46.03,-118.24
372,Walla Walla Faa Airport,wa8928,WA,WA Walla Walla Faa Airport,46.06,-118.17
373,Walla Walla Wb City,wa8931,WA,WA Walla Walla Wb City,46.02,-118.2
374,Wapato,wa8959,WA,WA Wapato,46.26,-120.25
375,Washougal 8 Ne,wa8999,WA,WA Washougal 8 Ne,45.36,-122.11
376,Waterville,wa9012,WA,WA Waterville,47.39,-120.04
377,Wauna 3 Sw Minter Creek,wa9021,WA,WA Wauna 3 Sw Minter Creek,47.22,-122.42
378,Wawawai,wa9024,WA,WA Wawawai,46.39,-117.24
379,Wellpinit,wa9058,WA,WA Wellpinit,47.54,-118.0
380,Wenatchee,wa9074,WA,WA Wenatchee,47.25,-120.19
381,Wenatchee Exp Stn,wa9079,WA,WA Wenatchee Exp Stn,47.26,-120.21
382,Wenatchee Faa Ap,wa9082,WA,WA Wenatchee Faa Ap,47.24,-120.12
383,Parkway 6 S,wa9171,WA,WA Parkway 6 S,46.54,-121.33
384,White Swan,wa9191,WA,WA White Swan,46.23,-120.43
385,Whitman Mission,wa9200,WA,WA Whitman Mission,46.03,-118.27
386,Wilbur,wa9238,WA,WA Wilbur,47.45,-118.4
387,Willapa Harbor,wa9291,WA,WA Willapa Harbor,46.41,-123.45
388,Wilson Creek,wa9327,WA,WA Wilson Creek,47.25,-119.07
389,Wind River,wa9342,WA,WA Wind River,45.48,-121.56
390,Winthrop 1 Wsw,wa9376,WA,WA Winthrop 1 Wsw,48.28,-120.11
391,Yakima Wso Ap,wa9465,WA,WA Yakima Wso Ap,46.34,-120.32
